song_name,class,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
Battle Cry - Army Of The Pharaohs.mp3,angry,92.28515625,117056,1300.6222222222,0.4506598163,0.2935600258,0.0861774888,0.5369584446,0.2778404085,0.0771952926,0.2642391848,0.1162367694,0.0135109866,10.7941174916,98.6010678918,9722.1705894108,0.4408672496,39.7760533517,1582.1344202383,0.0083789315,3.1718618927,10.0607078666,0.1919881105,0.1154883206,0.0133375516,2227.0114549175,861.9900859398,743026.908258572,2008.4558567714,691.0662292081,477572.533151834,20.8697329626,7.8052637308,60.9221419078,4286.6199127292,1823.537107525,3325287.58252067,2.3980016298,3.0371117182,9.2240475888,-0.0115259327,0.0636235535,0.0040479566,0.1193499964,0.0659686411,0.0043518616,0.0024056793,0.1390782744,0.0193427652,2.06100630748551E-05,0.1325253993,0.0175629798,5.9025124717,4.6661803129,21.7732387123
Merchant of War - Jedi Mind Tricks.mp3,angry,89.1029094828,106568,1239.1627906977,0.4515343964,0.2924115101,0.0855044912,0.5958503079,0.2474909914,0.0612517908,0.276633628,0.0825055706,0.0068071692,5.9824065376,41.780656262,1745.6232376821,3.9136020527,31.8162067182,1012.2710099346,0.0101947968,3.0032866517,9.0197307121,0.1569512486,0.0505552292,0.0025558313,2374.9527985871,873.9595605122,763805.313410735,2441.7190748954,460.9071861574,212435.434251573,18.9630222436,6.5895154809,43.4217142734,4950.1617337159,1731.6061685102,2998459.92282261,2.0505432938,2.2310293794,4.9774920917,-0.0076057099,0.0513045866,0.0026321606,0.1012034697,0.0654377863,0.0042821039,-7.12619385012658E-06,0.1157950535,0.0134084951,-0.0001579075,0.0732454285,0.0053648925,3.0940589569,1.9635334463,3.8554635947
Mercy - Kanye West.mp3,angry,135.9991776316,170089,1269.3208955224,0.4161204438,0.3179925845,0.1011192838,0.3303201497,0.3107373068,0.0965576738,0.1979095329,0.2101550621,0.0441651501,18.8115516432,207.7601587211,43164.2835518148,3.4462138138,49.2751637406,2428.0417616643,0.0133759485,4.4594426487,19.8866287368,0.2440602928,0.1453345716,0.0211221389,1950.0813632735,1011.2322281395,1022590.61922791,2162.0165926834,689.7143754356,475705.919682504,25.1945539263,11.8037433055,139.3283560232,4034.0839397797,2135.2925349566,4559474.20984142,1.854422116,2.343295223,5.4910325022,0.0197403169,0.1140206899,0.0130007177,0.0677887057,0.0650735153,0.0042345624,2.51488345384132E-05,0.2608601451,0.0680480152,0.0002768125,0.0827125311,0.0068413634,3.965968254,2.1950485231,4.8182380186
Midnight Burial (feat Reef the Lost Cauze Crypt the Warchild Esoteric Des Devious & Celph Titled) - Army Of The Pharaohs.mp3,angry,92.28515625,114914,1262.7912087912,0.4664532766,0.2946708347,0.0868309008,0.4771209154,0.2825231567,0.0798193341,0.2475861324,0.1484400228,0.0220344404,21.3820819502,203.8763511056,41565.5665401308,1.8648003082,30.2159521526,913.0037644884,0.0122461531,3.0552443069,9.3345177748,0.2701809108,0.150178358,0.0225535408,2564.2602089187,932.7260580024,869977.899276764,2386.4814310389,516.2174700851,266480.476421056,20.6514302898,6.9790710868,48.7074332347,5191.3769417872,1695.3599655593,2874245.41282122,2.9518535408,3.5235783977,12.4156047247,-0.0038108908,0.0665389627,0.0044274336,0.1072905455,0.0771792599,0.0059566382,-2.45998780883383E-05,0.2289441228,0.0524154082,-7.04814010532573E-05,0.1471261531,0.0216461048,3.289106576,1.6789693152,2.8189379614
Monster - Kanye West.mp3,angry,123.046875,154911,1269.762295082,0.5124851025,0.285809575,0.0816871131,0.4491293885,0.2900505559,0.084129325,0.2396035389,0.1610076938,0.0259234775,38.1630192182,353.6268703939,125051.963464588,6.9446488745,32.0454718504,1026.9122661145,0.0127554656,2.985070806,8.910647717,0.3629317284,0.1854718179,0.0343997926,2083.7236488095,899.5862134504,809255.355430058,2237.3305169206,491.211783722,241289.016467304,19.5884287147,7.3875267786,54.5755519045,4347.1570466694,1664.6139678521,2770939.66196815,3.6913357174,4.4678829105,19.9619777017,0.016696797,0.073429176,0.0053918439,0.0795325879,0.0836045896,0.0069897274,-3.46326232829597E-05,0.3384088576,0.1145205647,-0.0024298513,0.1622224301,0.0263161175,10.3955736961,5.9065015396,34.8867604371
Murda Murda - Celph Titled.mp3,angry,143.5546875,173184,1254.9565217391,0.4217775126,0.306408113,0.0938859317,0.5197976747,0.2877143745,0.0827795613,0.2600410124,0.1253475377,0.0157120052,15.2090773391,146.4964484701,21461.2094143415,1.7638011233,37.3982643316,1398.6301750169,0.0111016568,2.8400571127,8.0659244033,0.2265867144,0.1394686252,0.019451499,2807.7400758432,1161.3487009878,1348730.80528594,2492.1905386804,654.0726791982,427811.069673553,20.1513064041,8.2832494581,68.6122215854,5654.0158109399,1967.3082600737,3870301.79015429,2.7524876352,3.6492263185,13.3168527237,0.0004582607,0.0646094017,0.0041743748,0.143500644,0.1000892467,0.0100178573,0.0023565993,0.1543468237,0.0238229427,7.63188800192438E-05,0.1615695804,0.0261047278,7.0286802721,5.1995648647,27.0354747823
Murder-Death-Kill - The Esoteric.mp3,angry,89.1029094828,112408,1422.8860759494,0.38406419,0.3087190971,0.0953074809,0.5387676128,0.2671319917,0.071359501,0.2705606204,0.100649312,0.010130284,11.3574139429,110.513581508,12213.2516977289,1.851320827,37.0330808169,1371.4490747921,0.0107979467,2.8490431699,8.1170469841,0.1952685118,0.1090495065,0.0118917944,2282.1737932694,935.0419380978,874303.426001729,2401.4049029239,646.9770518887,418579.305670654,19.8408346308,7.6113511538,57.9326663862,4940.4701256531,1935.1453835086,3744787.65531471,2.2456673685,2.8021035671,7.851784401,-0.0008203692,0.0555716682,0.0030882103,0.1011123893,0.0669645367,0.0044842492,0.002322678,0.1427492648,0.020377351,5.13687955390196E-05,0.1252323687,0.0156831443,6.3796825397,3.7490907065,14.0556811255
Napalm - Xzibit.mp3,angry,117.4538352273,144660,1291.6071428572,0.4620006968,0.2840738919,0.0806979761,0.5471700005,0.2524656064,0.0637388824,0.2754362791,0.0864186871,0.0074681895,10.6070406593,102.2754421591,10460.2660688436,3.9527736787,22.6688346133,513.8760627258,0.0020603611,2.1062094679,4.4361183229,0.2059424371,0.0913966298,0.0083533442,2688.015436484,478.5157828592,228977.354445367,2497.35393393,203.8353195141,41548.8374814328,18.8228865142,7.2482751706,52.5374929481,5524.3832614769,842.1147859919,709157.312786236,3.1824043052,3.5977565026,12.9438518519,-0.0041185756,0.0542855028,0.0029469158,0.1408145302,0.0450027275,0.0020252455,-1.89904676517472E-05,0.1326919049,0.0176071431,-9.21464234124869E-05,0.1249429211,0.0156107331,2.1849977324,1.1441077469,1.3089825366
Natural Born Killaz - Ice Cube.mp3,angry,184.5703125,234423,1355.0462427746,0.4965143645,0.2802208319,0.0785237146,0.5525481256,0.2580651164,0.0665976043,0.269146592,0.1043716692,0.0108934453,1.7190054986,19.5696123195,382.9697263348,-3.7404068409,40.2182989067,1617.5115669523,0.0080375288,2.991620124,8.9497909664,0.080920808,0.0562931933,0.0031689235,3308.7236851314,847.3648964802,718027.26778694,2634.4952000299,407.7458155382,166256.650088938,18.5885794137,7.3508245542,54.0346216265,6423.1278268915,1393.3291544676,1941366.13268932,1.139737998,1.5852152684,2.5129074473,-0.0012380963,0.0607454023,0.0036900039,0.1989974739,0.0927032013,0.0085938835,0.0003172418,0.063421391,0.0040222728,-0.0002058319,0.0563007258,0.0031697717,4.8343945578,1.9957358533,3.9829615961
New God Flow1 - Kanye West.mp3,angry,172.265625,221982,1283.1329479769,0.3823273552,0.3017706181,0.091065506,0.5605017568,0.2552073822,0.0651308079,0.2687008928,0.1055138074,0.0111331636,16.8069893506,94.9662654578,9018.5915750007,3.4354799211,32.1715428189,1035.0081673477,0.0058600934,2.5774896834,6.6434530683,0.264313817,0.0935126692,0.0087446198,2482.387902094,981.3486011403,963045.076960035,2403.5453673082,680.0942669961,462528.212000946,20.3864950351,7.4107155657,54.9187051959,5244.3099550419,2015.0809118934,4060551.08147724,3.5145827594,4.0423810347,16.3408444298,0.0029865446,0.0610920951,0.0037322441,0.1209718687,0.0720906271,0.0051970585,-2.49353070103098E-06,0.1736174673,0.0301430263,3.8269703509286E-05,0.1520005614,0.0231041703,4.3398095238,2.5610031056,6.5587369069
Ninkyo Dantai (Yakuza) [feat Vinnie Paz Celph Titled Blacastan Apathy Esoteric & Planetary] - Army Of The Pharaohs.mp3,angry,172.265625,223739,1285.8563218391,0.4518715238,0.2953696779,0.0872432466,0.5147399556,0.2703718022,0.0731009114,0.2645292899,0.1155750324,0.0133575881,4.463986346,41.6845444013,1737.6012419409,-3.1980174288,36.1092019867,1303.8744681187,0.0126037403,3.0294679842,9.177676267,0.125844419,0.0676090717,0.0045709866,2648.9386174846,843.6561621659,711755.719960535,2410.4647332771,385.2174940795,148392.51774487,19.7400024098,6.929270643,48.0147916446,5274.5056057862,1437.8029760185,2067277.39784763,1.5587261412,1.8575257355,3.4504018579,0.0023389569,0.0626283108,0.0039223053,0.1285882247,0.0738629899,0.0054557413,4.42466034655809E-06,0.0866827741,0.0075139031,-2.5898807507474E-05,0.0858479589,0.0073698726,2.2384036281,1.1887709716,1.4131764229
No Love - Eminem.mp3,angry,129.19921875,163211,1275.0859375,0.4430290792,0.2797907087,0.0782828407,0.3170765406,0.2867390669,0.0822192925,0.1961131849,0.2118323677,0.044872952,7.4245263473,52.6495300106,2771.9730103343,5.0561807908,35.7754213018,1279.8807693229,0.0142940173,2.1094773924,4.4498948691,0.1728016734,0.0779445246,0.0060753492,2514.4578203208,1168.8037093009,1366102.11087545,2549.6019675102,581.4448769194,338078.144895844,20.2806745881,6.9250001796,47.9556274874,5366.2717175558,2194.2743878554,4814840.08919799,2.1556343514,2.7017994904,7.2997204865,0.0147129202,0.1095189696,0.0119944047,0.1087353591,0.0934043209,0.0087243672,-1.26583927340107E-05,0.1446762085,0.0209312066,-0.0002903883,0.0863602385,0.0074580912,2.6308208617,1.5950959634,2.5443311325
No More Games (feat Chris Rivers & Spit Gemz) - Vinnie Paz.mp3,angry,89.1029094828,111924,1271.8636363636,0.4116587371,0.3093767715,0.0957139867,0.4117059076,0.3006942425,0.0904170275,0.2324362576,0.1711920545,0.0293067195,27.2830502527,189.5109905955,35914.4155564795,5.5039938365,33.6513059188,1132.4103900435,0.0131378584,2.9417902185,8.6541296894,0.3250522316,0.1267905235,0.0160758365,2378.9289368392,784.7127781066,615774.144123776,2392.0747521588,501.6621851804,251664.948039954,20.5190893012,7.3987764445,54.7418928755,4954.0033771527,1617.8667159247,2617492.71049699,3.5773262634,4.1859248885,17.5219671719,-0.0315065323,0.0891094834,0.0079405,0.0863745722,0.0569650375,0.0032450155,-2.07196844712598E-05,0.2759279311,0.076136224,-0.0006213723,0.1471342742,0.0216484927,3.8278095238,2.2130855212,4.897747524
Nobody Speak (feat Run the Jewels) - DJ Shadow.mp3,angry,161.4990234375,200411,1284.6858974359,0.4637948952,0.3035746559,0.0921575717,0.4564159788,0.2907484226,0.0845346452,0.2446234401,0.1532733046,0.0234927059,18.4529743987,133.3722723485,17788.1630314048,5.6965082377,37.3312831992,1393.6247052958,0.0055870491,3.1038316219,9.6337707371,0.2718418837,0.0839648992,0.0070501044,1876.0409793515,868.9029188501,754992.28238625,2208.7381154851,610.4996956822,372709.878428056,20.1372834257,7.5281594401,56.6731845555,3954.5052543144,2000.806643911,4003227.22631822,3.0480530926,3.5207221682,12.3954845858,-0.0050609192,0.078077128,0.0060960379,0.066153795,0.0480390107,0.0023077465,-5.24379572652833E-07,0.2162180096,0.0467502251,0.0004407611,0.121789135,0.0148325926,1.8343764172,1.0796405007,1.1656236107
Numb  Encore - JAY Z.mp3,angry,107.666015625,132427,1261.2095238095,0.3708746529,0.3037013985,0.0922345395,0.4719184498,0.2891990725,0.0836361035,0.2466570921,0.1499787059,0.0224936122,13.3129349675,78.5324977189,6167.3531979624,1.8626724173,33.3461698445,1111.9670433015,0.0134494103,3.8514458617,14.8336352256,0.2312713712,0.0932417661,0.0086940276,2465.6630424209,798.7849462254,638057.390316249,2413.1751915991,416.8982726577,173804.169744938,20.5798778724,7.6178074317,58.0309900663,4953.4117140637,1659.4634029171,2753818.78562119,3.0814971924,3.7198750191,13.8374701575,-0.010325669,0.0763057756,0.0058225714,0.1110322084,0.0557504006,0.0031081072,5.6094422689057E-06,0.173565805,0.0301250909,0.0001989749,0.1249525696,0.0156131452,2.6180498866,1.3993731596,1.9582452398
On The Eve Of War (Meldrick Taylor Mix) - Jedi Mind Tricks.mp3,angry,95.703125,120765,1341.8333333333,0.4475750191,0.3022282185,0.0913418961,0.5567195898,0.2772660434,0.0768764588,0.2688902109,0.1050304137,0.0110313878,22.4475126608,184.0424687231,33871.630293677,4.8730044821,31.8127879481,1012.0534770317,0.011507185,3.4243049212,11.7258641931,0.2952969074,0.1223177463,0.014961631,2270.2633093337,807.7139956686,652401.898798865,2322.3929484446,557.5734550768,310888.157806271,20.018477808,7.1881301454,51.6692149868,4732.1213855094,1827.6114155486,3340163.48624349,3.5314528643,4.1935340408,17.5857277513,0.004982216,0.0610609367,0.003728438,0.1011843844,0.0566164549,0.003205423,-4.60223463960574E-06,0.1804634482,0.032567054,-0.000062628,0.2058229595,0.0423630886,3.4818321995,1.4940822937,2.2322819003
One - Ghostface Killah.mp3,angry,89.1029094828,114069,1281.6741573034,0.4317679528,0.3065067921,0.0939464136,0.5187600822,0.2860805329,0.0818420713,0.2616441169,0.1219659355,0.0148756894,9.5239218289,111.8097618461,12501.4228440898,4.364565394,29.7359418013,884.2262348119,0.011584338,3.3535620623,11.2463785057,0.1806657016,0.103880316,0.0107911201,2736.8940004256,880.4848678649,775253.602539012,2572.2349490455,342.9452579416,117611.449944602,20.4906749704,6.6846999505,44.6852134288,5632.69510653,1400.8677013468,1962430.31667671,2.1287767268,2.6936082642,7.2555254808,-0.0026058002,0.0706408886,0.0049901351,0.1244901769,0.0682930646,0.0046639427,7.45751151498553E-07,0.1055167913,0.0111337928,5.46702176507097E-05,0.1403823793,0.0197072104,3.1555918367,1.4789470678,2.1872844293
One Blood - The Game.mp3,angry,161.4990234375,206970,1335.2903225807,0.4321154688,0.3015599118,0.0909383804,0.5046977992,0.2845386588,0.0809622484,0.2547906529,0.1357020873,0.0184150565,9.5312217344,72.4124767692,5243.5667918492,4.0843770577,35.21881989,1240.3652744413,0.0029118621,2.8539322832,8.1449294773,0.1923093498,0.090016067,0.008102892,2543.4421478492,833.9078834918,695402.358149772,2449.1491933375,473.0220448169,223749.85488272,19.738347673,7.1141849487,50.6116274847,5168.6270793525,1653.9908894599,2735685.86241647,2.5135046297,3.1464019445,9.8998451964,0.023440196,0.0659683463,0.0043518227,0.114930144,0.0684526463,0.0046857648,1.44238592838519E-05,0.1453008354,0.021112334,6.98960366207757E-06,0.1098923087,0.0120763192,11.0445714286,3.3709526676,11.363321887
